country,code,var,var_code,pop_2050
Afghanistan,AFG,"Population, total",SP.POP.TOTL,74075234
Albania,ALB,"Population, total",SP.POP.TOTL,2377598
Algeria,DZA,"Population, total",SP.POP.TOTL,60001113
American Samoa,ASM,"Population, total",SP.POP.TOTL,33557
Andorra,AND,"Population, total",SP.POP.TOTL,80504
Angola,AGO,"Population, total",SP.POP.TOTL,72328068
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,99030
Argentina,ARG,"Population, total",SP.POP.TOTL,52288896
Armenia,ARM,"Population, total",SP.POP.TOTL,2573465
Aruba,ABW,"Population, total",SP.POP.TOTL,94185
Australia,AUS,"Population, total",SP.POP.TOTL,31798006
Austria,AUT,"Population, total",SP.POP.TOTL,8930681
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10621822
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,450625
Bahrain,BHR,"Population, total",SP.POP.TOTL,1809237
Bangladesh,BGD,"Population, total",SP.POP.TOTL,203904900
Barbados,BRB,"Population, total",SP.POP.TOTL,267788
Belarus,BLR,"Population, total",SP.POP.TOTL,8125076
Belgium,BEL,"Population, total",SP.POP.TOTL,12029329
Belize,BLZ,"Population, total",SP.POP.TOTL,538838
Benin,BEN,"Population, total",SP.POP.TOTL,25264035
Bermuda,BMU,"Population, total",SP.POP.TOTL,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,874294
Bolivia,BOL,"Population, total",SP.POP.TOTL,16609854
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2739014
Botswana,BWA,"Population, total",SP.POP.TOTL,3679340
Brazil,BRA,"Population, total",SP.POP.TOTL,230885725
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,34768
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,498373
Bulgaria,BGR,"Population, total",SP.POP.TOTL,4940498
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,40541548
Burundi,BDI,"Population, total",SP.POP.TOTL,24208671
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,727457
Cambodia,KHM,"Population, total",SP.POP.TOTL,20258435
Cameroon,CMR,"Population, total",SP.POP.TOTL,51279560
Canada,CAN,"Population, total",SP.POP.TOTL,45946328
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,77633
Central African Republic,CAF,"Population, total",SP.POP.TOTL,11533423
Chad,TCD,"Population, total",SP.POP.TOTL,36452035
Channel Islands,CHI,"Population, total",SP.POP.TOTL,201937
Chile,CHL,"Population, total",SP.POP.TOTL,20675378
China,CHN,"Population, total",SP.POP.TOTL,1291395968
Colombia,COL,"Population, total",SP.POP.TOTL,56987651
Comoros,COM,"Population, total",SP.POP.TOTL,1246207
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,217494003
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,10378912
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5702525
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,51358243
Croatia,HRV,"Population, total",SP.POP.TOTL,3175053
Cuba,CUB,"Population, total",SP.POP.TOTL,10028085
Curacao,CUW,"Population, total",SP.POP.TOTL,162930
Cyprus,CYP,"Population, total",SP.POP.TOTL,1391785
Czechia,CZE,"Population, total",SP.POP.TOTL,10717496
Denmark,DNK,"Population, total",SP.POP.TOTL,6428265
Djibouti,DJI,"Population, total",SP.POP.TOTL,1502575
Dominica,DMA,"Population, total",SP.POP.TOTL,74167
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,13180541
Ecuador,ECU,"Population, total",SP.POP.TOTL,22269779
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,160339889
El Salvador,SLV,"Population, total",SP.POP.TOTL,6636854
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,2790533
Eritrea,ERI,"Population, total",SP.POP.TOTL,5964021
Estonia,EST,"Population, total",SP.POP.TOTL,1188891
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1655121
Ethiopia,ETH,"Population, total",SP.POP.TOTL,214812309
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,59444
Fiji,FJI,"Population, total",SP.POP.TOTL,1094174
Finland,FIN,"Population, total",SP.POP.TOTL,5450846
France,FRA,"Population, total",SP.POP.TOTL,68609096
French Polynesia,PYF,"Population, total",SP.POP.TOTL,346933
Gabon,GAB,"Population, total",SP.POP.TOTL,3757053
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,4673743
Georgia,GEO,"Population, total",SP.POP.TOTL,3347803
Germany,DEU,"Population, total",SP.POP.TOTL,78586096
Ghana,GHA,"Population, total",SP.POP.TOTL,52231785
Gibraltar,GIB,"Population, total",SP.POP.TOTL,31356
Greece,GRC,"Population, total",SP.POP.TOTL,9123838
Greenland,GRL,"Population, total",SP.POP.TOTL,..
Grenada,GRD,"Population, total",SP.POP.TOTL,136253
Guam,GUM,"Population, total",SP.POP.TOTL,195673
Guatemala,GTM,"Population, total",SP.POP.TOTL,23846174
Guinea,GIN,"Population, total",SP.POP.TOTL,23711700
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,3445289
Guyana,GUY,"Population, total",SP.POP.TOTL,878746
Haiti,HTI,"Population, total",SP.POP.TOTL,15087520
Honduras,HND,"Population, total",SP.POP.TOTL,14258514
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6724378
Hungary,HUN,"Population, total",SP.POP.TOTL,8112307
Iceland,ISL,"Population, total",SP.POP.TOTL,415755
India,IND,"Population, total",SP.POP.TOTL,1670490596
Indonesia,IDN,"Population, total",SP.POP.TOTL,317225213
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,99007204
Iraq,IRQ,"Population, total",SP.POP.TOTL,74515140
