month,scenario,doses
1,Immediate,192601
2,Immediate,238222
3,Immediate,683801
4,Immediate,2244937
5,Immediate,2408996
6,Immediate,2925332
7,Immediate,3786180
8,Immediate,4161117
9,Immediate,4047772
10,Immediate,4316985
11,Immediate,5511078
12,Immediate,5896003
13,Immediate,5595054
14,Immediate,4221017
15,Immediate,3431944
16,Immediate,4200633
17,Immediate,4342706
18,Immediate,2805272
19,Immediate,2377622
20,Immediate,2769350
21,Immediate,2588565
22,Immediate,1937310
23,Immediate,1729921
24,Immediate,1896594
25,Immediate,3300542
26,Immediate,4710453
27,Immediate,2997337
28,Immediate,2257488
29,Immediate,1211028
30,Immediate,916100
31,Immediate,1081298
32,Immediate,1248215
33,Immediate,884073
34,Immediate,613822
35,Immediate,508685
36,Immediate,521969
37,Immediate,441318
38,Immediate,21286
1,100 days,0
2,100 days,0
3,100 days,0
4,100 days,2926665
5,100 days,4443571
6,100 days,5378886
7,100 days,6952705
8,100 days,7647629
9,100 days,7408306
10,100 days,7847351
11,100 days,9959010
12,100 days,10638844
13,100 days,9996580
14,100 days,7441048
15,100 days,5921723
16,100 days,7145300
17,100 days,7377752
18,100 days,4735282
19,100 days,3960565
20,100 days,4553563
21,100 days,4202618
22,100 days,3100687
23,100 days,2731268
24,100 days,2950632
25,100 days,4998860
26,100 days,7049880
27,100 days,4447631
28,100 days,3305087
29,100 days,1752495
30,100 days,1305337
31,100 days,1512708
32,100 days,1713577
33,100 days,1195787
34,100 days,819064
35,100 days,665432
36,100 days,671533
37,100 days,570284
38,100 days,28981
1,1 year,0
2,1 year,0
3,1 year,0
4,1 year,0
5,1 year,0
6,1 year,0
7,1 year,0
8,1 year,0
9,1 year,0
10,1 year,0
11,1 year,0
12,1 year,0
13,1 year,58204408
14,1 year,49689925
15,1 year,37263534
16,1 year,41487570
17,1 year,38939774
18,1 year,22774149
19,1 year,17162753
20,1 year,17750952
21,1 year,14778250
22,1 year,9831948
23,1 year,7761720
24,1 year,7457783
25,1 year,11164341
26,1 year,14144870
27,1 year,7968834
28,1 year,5301987
29,1 year,2512229
30,1 year,1658037
31,1 year,1693478
32,1 year,1706072
33,1 year,1065745
34,1 year,648562
35,1 year,472638
36,1 year,422488
37,1 year,323959
38,1 year,15781
